uuid,planting_status
f1206b9c-9a8e-4b9c-972e-c221a090c3f9,in-progress
2862b4c5-6d13-4c48-9d54-2c3bd9d05061,in-progress
90a02bfd-5c44-4f45-8383-484b047ff63a,in-progress
b4387b04-7551-46f7-97b4-2f28343fd829,not-started
c1113830-10ac-4aab-a7e1-334dbcd2f25c,in-progress
49a87e1b-8a3d-47ca-a70b-499ff5d14123,in-progress
0d86947b-8b33-4294-b703-a0be7508abae,in-progress
ec106ce3-ff1c-470a-b723-8ea18e4be528,in-progress
c9e42614-09c1-414a-bb82-b37591c017f5,in-progress
55e3ad92-1671-4198-a5cf-b274711168a2,in-progress
d4758af8-fe50-41a2-9b46-a2e785819321,replacement-planting
ef6ec335-0591-43b0-8bb3-44c5820bbb44,completed
4d022dcd-6343-4c47-9e6f-6554a80fc231,completed
0edd8e0c-43dc-47b7-ad94-08fd2ec4ae4f,in-progress
15eaf317-0ac1-4adf-9545-d087e405f67b,completed
966cbece-d6ba-439f-a606-b3132c8450d4,completed
ccd623cb-d0d1-451f-9261-c362f1d5e5a5,completed
d9757122-0f10-4b25-aed8-91c8e9b2ab21,completed
950b2cbd-c6b4-4d6f-9560-78ae63d10205,completed
b8b09d65-95c4-4534-bca5-6c2ca583f7f9,in-progress
71de1c04-6b0f-47fb-9c86-4b91d5bc77fe,in-progress
aa8ac9b8-1ae7-4a5c-b9c6-4fcd24953b6d,replacement-planting
74e9be57-8ace-407b-82ef-34f6c7566d2b,completed
84f2d5e1-65c7-46ad-b051-720fca00fb32,not-started
50753360-a5cd-493f-b215-d97f811c008d,in-progress
dfb3555b-b6fc-4f40-9086-229ce3c3fadc,in-progress
b0aae338-3434-4585-a42f-06c1a87685d3,in-progress
e29bbc46-7b51-43f9-841c-94df698c3d53,in-progress
bc0cbb88-1aa6-43ae-8e0b-64e0ff6f8b59,completed
848d25b5-5e64-4fb1-8c97-97b4ca413cfe,completed
e2b99906-ecab-4f56-8cd3-49bda1fa0d47,completed
35ab6102-c159-41d3-86aa-75f7cab56623,not-started
d34901eb-6229-49d4-804d-4822eb80a619,in-progress
d9d04bb2-78aa-44aa-aa3f-d2f273dc86e1,no-restoration-expected
7edcecaf-109d-4f59-9964-d2a6aade3b99,no-restoration-expected
c3d7b630-4b97-4dc7-8acd-9b1a1f052cce,no-restoration-expected
7f406e79-6126-4c4b-afd4-16b44afe96a3,no-restoration-expected
bcc78153-518c-4779-91be-755acbbbeac5,in-progress
a907bcaa-8478-49fa-aae7-861e10c29936,in-progress
f3ca829e-65a7-448e-93ea-e93e26d50531,in-progress
0cdd95b7-8d87-4d44-bd63-38a75754cddf,in-progress
f3b58e9a-b3d5-432d-ab06-dca826d6236f,in-progress
8ee20878-c62b-4d6e-a6aa-13f2bb2c30f7,in-progress
c56c8575-35c7-46e7-805d-b3a2169dee1e,in-progress
b6ffc8a5-01b9-4ee3-98af-9a86a32206c5,replacement-planting
20cd8738-0806-4f1a-9aa6-e5028de8085c,not-started
e34bcf6f-56e9-4ad8-ac28-46c20663b3ea,not-started
55d32e43-77d6-4ff5-a338-dbed86a949f3,not-started
3df7e8f1-3a1e-46d8-b3ae-6a44a3c0c5f8,in-progress
7e1567b2-dd7a-41ae-a93e-357bc42b569f,in-progress
bbed73d1-6556-4532-a52d-1cfb9c56ba6e,in-progress
316642bf-bc7f-43f6-9729-4645f31b5e7f,in-progress
cb4430fb-8753-4056-acb0-ac730863cbda,in-progress
48f66827-c5af-44ed-9f43-663bdeb1e37b,in-progress
758d42b9-1cc0-4348-8582-54b1dfa25d6c,in-progress
6a258374-71b3-4fa4-a75c-f22b211cf45b,replacement-planting
0d4fc39a-2bd3-4063-bfa5-553c6a944ca0,in-progress
aecde2ca-5c61-46b2-803b-32ec563144cf,in-progress
db84c8b2-5903-4e41-92c3-2ae9739c0046,in-progress
80952b36-9262-4da2-b409-4d820267dd99,in-progress
20a4a0df-6eec-4b6b-8226-c5d6f924d541,completed
4e8e8efb-0fc7-468c-b72d-e73474e45a26,not-started
7cd49d65-91e1-407f-b067-f41550159d68,in-progress
18bec0f7-103e-4c11-80fe-2864b0b2c4bd,in-progress
0edec615-5a23-453b-a07d-7845d843dd3a,completed
92c54246-6103-49eb-a6f7-5381d8e77daa,completed
af429d70-9f4d-4c12-978e-4f98b92f2225,completed
58b8dd8d-d2b7-4363-8858-72433a7f7b0d,completed
106af4aa-a3fa-4dcf-abab-7decc9d074dd,completed
4e47ee09-cba0-48d0-8a6a-b545c351db3c,in-progress
eaf07b3a-f669-4b0e-8f11-9a5a1165a359,in-progress
602da3e1-3d3e-4720-bc6e-a6e1991b1f34,in-progress
9817c355-8880-4614-acbb-3991a427671d,in-progress
eda6fda2-2c3e-4735-8548-2db0aacbbb08,in-progress
0c92b5a1-6f42-49a0-9573-5b7b3ebe6e9f,in-progress
30a4c47c-e4f5-49d1-a2ce-f0200c3dcee5,replacement-planting
de1085b7-c203-49ea-ac0c-137808ab40b4,completed
a3846d71-bc62-4937-ade1-bbc656ded75a,no-restoration-expected
f2a1c64f-71b6-43c6-b610-a4aef0eeafcc,no-restoration-expected
9a2d55f4-da1c-46ee-be80-271d2a6b67ac,no-restoration-expected
fc9bf65c-8ad5-400e-802e-da8097709b1d,no-restoration-expected
951bb979-c795-4f3d-8de9-af808942e21f,no-restoration-expected
ed2ce8b8-06ce-4af8-aa6c-4abfb171b33c,no-restoration-expected
d57d3773-eae8-4021-bcf2-4f3280ed3231,in-progress
87f94692-248c-4c2d-93fa-04b49ee2cb49,in-progress
8a919ed2-9339-4b27-9804-b8b9efa089bc,in-progress
68a1f4a2-de22-457a-be6e-1b0a75c12bf0,replacement-planting
1f22e81a-955f-4c0e-87f9-56fa2a1d61f7,in-progress
d3fcc9ff-6f27-4c0c-8f21-552b14be95f0,in-progress
f306ef23-e1f1-4583-899f-53fc61af4aea,in-progress
7c1cece7-68b7-4164-9763-787abd228c2b,in-progress
edfd094b-3c2c-48d3-af4d-15fcc1a937da,in-progress
5745bb2c-7102-4675-8d0c-cb9011410d4b,in-progress
229bd3f5-610b-4384-89eb-1f126a73e23f,replacement-planting
a95aea8e-2efc-46cb-91dd-0d24895b2b1a,in-progress
335d8b88-3915-4daf-b3b8-1eb3db2a0579,completed
5b942498-b695-43f9-a781-4891efd57632,completed
5b65f867-3605-4913-a7de-16d0dbf0b857,completed
971619f5-2170-4537-a1f5-cc0b7ffcc195,completed
7eeb0a4a-eec8-4f00-a420-de651d7f6eec,completed
c21f0d3e-f3dd-45f9-86b3-da025d5ed4de,in-progress
a3f83e6b-32f4-4800-b1e6-965bbbe516d4,in-progress
5b19e484-e241-4547-9c84-a66d3ac7ebff,in-progress
bde674a6-6c06-46e9-be46-f4428eabbcd0,in-progress
d495eb7d-4f7c-4a94-8b78-75b664a21c80,in-progress
f316c52c-019e-457b-b809-90b42b4d448f,in-progress
7d68142a-8bfd-4504-a244-0565c5827ac1,completed
97475525-2167-4dd6-a2f9-74aae883caa4,not-started
dcfcac31-f2aa-463b-9d33-634ac140ff05,not-started
382c3ba7-1160-49ee-ba4e-76d441474e24,in-progress
c5b7aefd-32b1-43e7-a18c-3ef58ce48909,in-progress
b4430db5-f29a-4f05-9503-b3d899c05b5a,in-progress
2b61ea1b-92cb-471a-b3e3-836cc13d15c6,replacement-planting
5554e127-9e32-4ffc-b6b5-4fbc52b0cf2e,in-progress
30f56ea2-ba58-4c43-a103-a8aacb540867,in-progress
e91e5500-e8fb-4891-bea8-c40a2a4531ad,in-progress
571d17eb-e5d7-44a3-b28b-2ea3281a2249,in-progress
d87ed1a0-0662-46ef-9b65-8ba18c554592,in-progress
886b16d3-6e5c-4164-a875-f0579612234b,in-progress
6b038d7f-1f1c-4ea0-8a64-14c4ddafbce5,replacement-planting
78399afc-892c-479a-bda7-5babc43e1ce9,completed
e8a19605-efbd-4fbb-8d5e-4d6a7c028d48,in-progress
d34d200d-325e-496c-a29b-4ba386cac1c5,completed
dd3f5dd8-a311-4058-9499-0f35f0d60984,completed
2ee12080-56da-42b1-90a4-e026b0a91ba1,completed
43b24b97-25b8-4f09-8656-c92895fcda40,completed
51bd2e1c-4879-4050-8270-8e0314ae7ef1,completed
dd55e978-96aa-4996-99da-1d511e45c904,in-progress
a7372711-abef-444e-a451-503a1ed76dc5,in-progress
7f5eb1ce-6fe9-4ac6-984d-c33057197ee9,in-progress
ecc1b582-090d-4d9a-808f-2e03695631f4,not-started
5aa17cba-b736-4cd7-961f-0dfbb5bb1917,in-progress
e673efe1-021f-4810-a852-b2bd71acd283,in-progress
85e04fc6-fdfb-47a4-8878-05cfe3c561ad,in-progress
16f3b478-d1d5-4b9c-b9b3-2efff4db7933,in-progress
0cfa17e2-3916-4a63-a640-18b40ee74f4a,in-progress
3ff143f8-9c77-4b8d-b69f-becb3f34774d,in-progress
8a3f1999-93b7-4b94-bc77-56ecc053e5c5,replacement-planting
54eba74b-70c0-44ae-bab1-82df471c9064,replacement-planting
a4ea3511-28ca-4caa-b1b9-9eb4dafe3d97,in-progress
6482ed9a-d35d-4ee0-a24c-3eb4ef1a194f,in-progress
2d9d04ef-2bdf-4169-8d66-8bb0160d06ce,completed
370e9203-1d5b-4f69-884a-c8ec2780218a,no-restoration-expected
9be039f6-e034-4c95-9448-6174097c421f,no-restoration-expected
aa978068-25e3-45e3-9c18-47115c18e72f,no-restoration-expected
9dda2716-2fb6-445e-bd42-04ab99509871,no-restoration-expected
b75252d6-f9f3-462c-b00f-90525eb41129,no-restoration-expected
2eeb87f2-c3d1-44f6-8c2e-7d1f6f64064b,no-restoration-expected
5614e036-65a7-4217-bb27-faf4c1580576,in-progress
9ca75a1f-2b95-45b0-96db-958c52bd0b8b,in-progress
142cb888-3917-4430-9810-6bf4658d2267,not-started
d403e7c3-77c9-48b0-b8c1-cff017543a96,in-progress
