uuid,planting_status
7ab1e3df-f02f-468e-a964-1c2b3f0f6016,in-progress
7654d8e5-3ae5-43dc-a4f8-92a098f0a505,in-progress
49a14713-de2e-4ffe-ab58-44100d756275,in-progress
502d5df7-c6f3-421f-8479-e7b989de54ff,in-progress
747fe928-40aa-4f20-a046-b674066fc8e5,in-progress
99517d95-b0a2-4b78-a666-f7e79076a6c1,in-progress
d99fc5ca-c2a9-44d3-ac49-97cdd3085b3d,completed
bd530b53-43c2-4a04-b759-85588c65f5b3,completed
9699c720-fa51-47fc-96c9-0675b29dcbbe,completed
1b171de7-bdf4-484a-a08d-6730932286e7,in-progress
e2662dfb-ec27-4514-ba49-b751c08e15db,in-progress
181fdda8-ce06-43c2-a96b-c216547d2f36,in-progress
b6e05f59-6410-4b04-ae3d-629eda95d021,in-progress
c676952a-63af-441b-acc5-c7e66268dec2,in-progress
6a1abf3a-4299-4dae-8b04-d4640bde86bb,completed
3a0072e6-a28e-4dd7-87e1-a7f61f62f7da,completed
bd7ce0f4-823a-4067-a453-13b6a5d1dd2e,completed
1f1bc8b7-bb51-4fdf-a25e-2042829893c1,completed
d58bb8ad-7ae1-451e-bddc-b2e10003cdf1,completed
5a77c751-35eb-457c-a0fb-df346728124d,completed
c2b0a8da-2226-42a8-9dc4-79c2d306dadf,completed
a547a093-0356-431d-8856-7132ffc24ae9,completed
e7112849-099a-440b-9502-9722c12672f0,completed
173d4a8c-f7c2-48e0-9614-656fa18d5f3a,completed
badcb738-5ecf-4fd4-952d-800d1dfc2fb7,completed
88155036-7820-43e6-b15b-c379777ce267,completed
cbcaea42-87e5-4188-9eb9-fc089910860b,completed
0502fc3a-f73e-440f-b635-e6447c7bda2e,completed
2956dce9-9002-4342-b28d-a12b04b68268,completed
e74a466e-e443-473d-a1ec-33c4eb9238f0,completed
7cac1c6d-13fb-420f-b281-eb42957a9553,completed
81f38ad4-f812-425a-80b4-94c55678261a,completed
441f7832-0f7f-4bc2-9284-2d3818b39adf,completed
fede873a-462f-4f1c-83c1-8175bcbc4ced,completed
7298563a-6f8a-406b-a9d9-007cf45d6219,completed
db6ee459-3168-49d4-a66e-37257928a198,completed
119c9879-2296-4a73-92b4-7961757afb23,completed
5a6a64fe-c383-47cb-9bf0-8f041d28a977,completed
ef2c12ad-2850-4e06-a97c-99ff65441f10,in-progress
b9dd7ccf-244c-487e-af25-379a1f45e5a9,in-progress
e2c7582e-a347-41ac-ad50-0e58f0ee2030,in-progress
41df21ea-cfd2-4d44-bdfa-a392eab77035,in-progress
7255dbf7-e252-4823-a6e8-85c47ddaed9f,completed
669255f4-2a68-4470-b12c-3a2824e5dd40,completed
843176cd-ba60-4dcf-8eff-d5dbab7c58f3,completed
633ea87c-7685-457a-84c4-1b2f9ff4587d,completed
2346cd95-d2a4-4119-b219-28c60675aeeb,completed
fb83b41d-b2c3-4aa6-9445-e14a991d3423,completed
97cfed92-9081-4cb2-aec8-155ef7a3e755,completed
6074a2fa-b999-41d5-b3cb-f349400bb003,completed
58d511e7-0815-48fc-b9be-649f8e216f12,completed
9863f2d1-ae6c-4dd7-ab58-4fb2ff92a253,completed
210ab2e2-27b1-4098-bc4b-9d979121d965,completed
270b8cde-70e6-4849-a67a-6af0de84e316,completed
67f5da69-5d28-4938-9a46-419ef77ec0bc,in-progress
c562fc0a-5e5b-4976-bada-c5753d5daf58,in-progress
1e3155cb-3fd2-4c38-bae8-8c147846a8fe,in-progress
4610bbb5-7e42-4709-bda0-a478b10bac52,in-progress
0c55a45f-0e39-4a1d-90eb-0937d71bfc31,in-progress
5584ba29-0c89-40ad-a0e0-228e70265adf,in-progress
