TM Project UUID,Organization Name,Project Name
44c352fb-0581-4b97-92d7-6cbe459e13d0,EcoFix - Kenya (EFK),EFK-ANA Agroforestry Project - EcoFix (K)
35f4ee57-1f01-4e69-91be-d927aa5c0c89,Acacia EPZ,"Landscape restoration through promotion of agroforestry, active reforestation, and by elimination of invasive Prosopis juliflora - Acacia EPZ"
d6240881-891e-41f0-a5b6-eb1410447edd,Nguni Nursery,Nguni Restoration Project
4a853e6a-dba4-442a-b528-09702250244f,Aerobic Agroforestry,Planting trees for climate and livelihoods - Aerobic Agroforestry
476273a3-d0b3-4f89-be10-9703f038d0c0,Private Afforestation Developers Organization (PADO),Restoration of Degraded Forest Lands in Ghana - PADO
e4a9f60c-e555-43ff-b428-5b13f6501d66,Green Pot Enterprises,Riparian Land and Water Catchment Areas - Green Pot Enterprises
39871658-bff0-49c2-aa20-ccac0b03a2c2,Shekina Enterprise,Strengthening Resilient agriculture practices and improving smallholders’ livelihood opportunities through Planting and growing cassava leaves trees in Rulindo district - Shekina
f449aef3-4453-42c9-b542-57acc7c2e5eb,Rwanda Environmental Conservation Organization (RECOR),"“Forest Landscape Restoration and Lake Rumira Buffer Zone Restoration   in Bugesera District, Eastern Province.” - RECOR"
943bb150-f1b7-4ad2-bb9e-60a559df2ebd,Goshen Global Vision (GGV),Agriculture and forest landscape restoration - Goshen Global Vision
47f07709-b503-4eeb-98fa-aea62e979ca8,Centre ValBio / Institute for the Conservation of Tropical Environments (CVB/ICTE),Agroecology Project - Centre ValBio
cbe97cc6-8469-487a-af4a-056d52215742,Organization of People Empowerment (OPE),Agroforestry - OPE
f9dc4f5a-503b-45e5-baf0-0162f7bdb891,Blue Forest,"AGROFORESTRY AND MANGROVE RESTORATION PROJECT IN SOUTH COMOE, COTE D'IVOIRE - Blue Forest"
da7fab67-92c7-4703-b2e0-d20c9cadcdde,Khusel'indalo South Africa Trading as Conservation South Africa,Assisted Natural Regeneration in the Kruger to Canyons Biosphere
fdde47ac-770e-4b7b-861b-9e4520ba906c,Trees for the Future (TREES),BADILI: Building Agroforestry and Developing Independent Livelihoods in Iringa - Trees for the Future
389aad5b-6577-4cea-bf9f-446dcfd94966,Bulindi Chimpanzee and Community Project (BCCP),Bulindi Chimpanzee and Community Project
802bb88c-5eb5-4ce2-836f-19bc8e0ddfc4,Kikandwa Environmental Association (KEA),Climate Smart Innovative Agro-ecology Project - Kikandwa Environmental Association (KEA)
47118e50-d4d1-4ba0-8094-59cfa441dbb0,EcoCare Ghana,Community-led Restoration Project - Restoring for the Future - EcoCare Ghana
684fb6a6-db3c-403a-8bb5-1b90c4234ace,Association de Soutien aux Initiatives Communautaires (ASIC),Contribution à l'amélioration de la couverture végétale de la sécurité alimentaire et nutritionnelle des exploitations agricoles par la diffusion des technologies et des bonnes pratiques agroforestières - ASIC
62043c88-f03d-475e-ac9c-2f057536e2a8,SOS-Forêts,Création de 150 hectares de plantations forestières communautaires afin de lutter contre le changement climatique pour l’autonomisation des couches vulnérables (femmes et jeunes) dans le département de Kouibly - SOS-Forêts
d6481438-9603-4c68-b152-6586ed825b0a,Drylands Natural Resources Centre (DNRC),Drylands Agroforestry Tree Planting Project - DNRC
cf16b937-a02b-4691-b816-28669ec348f2,International Tree Foundation (ITF),"Ecosystem and livelihoods enhancement for People, Nature and Climate in Marsabit County - International Tree Foundation"
f4b92387-705a-40bf-a7bb-e84f942de1ec,Solidaridad - East and Central Africa,ENHANCING AGROFORESTRY IN TEA LANSCAPES OF UGANDA - Solidaridad
36504a4e-f7a3-4963-9ff2-9aa9982cf990,Birdlife International - Kenya,"Enhancing Community Capacity for Climate Resilience and Restoration in the Lake Kivu/Rusizi River Basin, Rwanda – Birdlife"
cf106374-3dd4-401d-80ba-25b70247381a,Wells for Zoë,Enyezini forest and soil restoration - Wells for Zoe
9019106b-6e2d-4deb-97a5-2889f976a931,Development Response - Kenya (DREK),FAFI TREE RESTORATION PROJECT - DREK
2e2130be-7da7-4898-a9da-98ebb908cc96,Fairtree.org,FairTree - Kenya - Samburu
3a860077-df4c-4e95-8fec-41520c551243,Fairtree.org,FairTree TZ Usambaras
0733b059-5538-4fd8-8c9a-7adb78aea248,Solidaridad - East and Central Africa,"Farmer Managed Natural Regeneration and Tree Planting in Mazabuka, Zambia - Solidaridad"
bad12444-7180-4b29-a14c-d2b4305b7f52,Support for Women in Agriculture and Environment (SWAGEN),Forest Resource Conservation - SWAGEN
8a112e82-e191-44ad-b306-2578c064104b,Sustainable Natural Resources Management Association (SUNARMA),Forest restoration & re greening Ethiopia - SUNARMA
01918b25-6544-4027-82aa-6703c7c04784,Youth Action for Relentless Development Organization Sierra Leone (YARDO-SL),FreetownTheTreeTown - YARDO-SL
a44be1df-b79a-4f1b-9689-b6a768b12b60,"Organisation pour le Développement Durable, le Renforcement et l'Autopromotion des Structures Communautaires (DeDRAS)",Initiative bande verte durable - DEDRAS
449adf55-f6f8-4f17-97d3-ab6f6bf6676d,"Education, Environnement et Développement Durable (EEDD)",Initiatives communautaires de restauration des paysages forestiers par l’agroforesterie en RCA - EEDD
ff8f0b17-adc1-4885-a21b-0dd2b699bfc1,Sahel Eco,Inverser la dégradation des terres et des forêts par la mise à l'échelle des pratiques de reverdissement dans les provinces de Gourma et Gnagna - Sahel Eco
814fc561-d635-423d-ab9d-30ce02a81172,Sahel Eco,Inverser la dégradation des terres et des forêts par le mise à l'échelle des pratique de reverdissement - Sahel Eco
1e207d56-d0ed-4b4f-b1d9-94aa8aafb71f,Plant with Purpose - DRC,"Kakumba, DRC – Restoring Land and Lives - Plant with Purpose"
